# Detector locations exported from traps(kruger.ch.count)
# Tue Jul 12 12:29:09 2022 
# Detector  x  y / sname habitat.cov landscape water high.water dist.to.water km.to.water 
1 4116541.67 -3288955.92 / 6 1.00853835402513 2 14 1 0 0
2 4088869.36 -3318232.77 / 6 2.99730341346429 1 1 0 4892.21238425095 4.89221238425095
3 4098721.22 -3321331.77 / 6 2.99426481644605 1 0 0 2446.10619212547 2.44610619212547
4 4101909.66 -3323524.35 / 6 2.98262229069979 1 0 0 2446.10619212547 2.44610619212547
5 4104695.87 -3325803.73 / 6 2.96844538243021 1 10 1 0 0
6 4105897.42 -3322392.8 / 6 2.84197316537872 1 5 1 0 0
7 4102985 -3320301.03 / 6 2.93377376455957 1 5 1 0 0
8 4103952.6 -3316474.07 / 6 2.77314947364472 1 0 0 3459.31655190865 3.45931655190865
9 4098893.74 -3304794.19 / 6 1.83521612579655 2 5 1 0 0
10 4101778.86 -3303367.9 / 6 1.52657647568269 2 6 1 0 0
11 4105247.24 -3301901.83 / 6 1.2037823044986 2 4 0 1223.05309606297 1.22305309606297
12 4119100.12 -3297282.78 / 6 1.00595774638251 2 10 1 0 0
13 4109642.59 -3300727.74 / 6 1.0507592468011 4 1 0 2734.82986288796 2.73482986288796
14 4112900.12 -3302694.31 / 6 1.02969794106373 2 0 0 1223.0530960625 1.2230530960625
15 4110760.88 -3305582.62 / 6 1.21548711705846 2 2 0 1223.05309606297 1.22305309606297
16 4110119.62 -3319271.47 / 6 1.97536444370543 2 1 0 1223.05309606297 1.22305309606297
17 4108893.07 -3315569.83 / 6 1.97577505202559 2 1 0 2734.82986288838 2.73482986288838
18 4108035.29 -3312339.23 / 6 1.9877821463783 1 2 0 1223.05309606297 1.22305309606297
19 4104890.94 -3310094.6 / 6 2.02410842535918 1 2 0 1223.05309606297 1.22305309606297
20 4102209.59 -3307349.56 / 6 1.85871720957578 2 0 0 1729.65827595466 1.72965827595466
21 4117274.99 -3293178.09 / 6 1.00074740242491 2 2 0 1223.0530960625 1.2230530960625
22 4116450.55 -3293691.86 / 6 1.00036999336173 2 3 0 1223.0530960625 1.2230530960625
23 4098377.52 -3317428.71 / 6 2.95587333591419 1 2 0 1223.05309606297 1.22305309606297
24 4113626.75 -3294885.62 / 6 1.00076025691396 2 1 0 2446.10619212547 2.44610619212547
25 4110888.35 -3297139.65 / 6 1.013310690635 2 2 0 2446.10619212594 2.44610619212594
26 4098410.2 -3314280 / 6 2.85624331380321 1 10 1 0 0
27 4097754.57 -3310588.72 / 6 2.50453340096148 1 0 0 3669.15928818844 3.66915928818844
28 4096887.51 -3307597.53 / 6 2.21846458813704 2 4 0 1223.05309606297 1.22305309606297
29 4094117.34 -3309891.39 / 6 2.59304559090654 2 1 0 1223.0530960625 1.2230530960625
30 4092261.37 -3313028.36 / 6 2.90216576511054 1 2 0 3867.63348287926 3.86763348287926
31 4090261.47 -3315450.82 / 6 2.97446516276048 1 1 0 6586.34249017477 6.58634249017477
32 4085346.16 -3284699.77 / 9 2.97961810238062 3 13 1 0 0
33 4097559.84 -3288222.65 / 9 1.4962358548736 4 7 1 0 0
34 4100756.99 -3264387.65 / 9 2.18532067973069 3 12 1 0 0
35 4087334.16 -3264628.98 / 9 2.60356828880073 3 11 1 0 0
36 4094396.97 -3287189.23 / 9 2.1907430204473 3 3 0 2446.10619212594 2.44610619212594
37 4091340.05 -3265765.28 / 9 2.48593869706089 3 1 0 2446.10619212594 2.44610619212594
38 4080824.72 -3275823.12 / 9 2.99868690429622 3 8 1 0 0
39 4086074.1 -3267690.22 / 9 2.89309603182963 3 2 0 1223.05309606297 1.22305309606297
40 4091715.42 -3275822.21 / 9 2.42659332256784 3 1 0 1223.05309606297 1.22305309606297
41 4084822.8 -3287897.6 / 9 2.99206050388001 3 6 1 0 0
42 4090211.07 -3271244.47 / 9 2.64043513906189 3 3 0 1223.05309606297 1.22305309606297
43 4093184.6 -3283322.57 / 9 2.32351759685088 3 4 0 1223.0530960625 1.2230530960625
44 4082387.97 -3273034.7 / 9 2.99552439088655 3 2 0 1223.05309606297 1.22305309606297
45 4098384.55 -3278975.77 / 9 1.36390329747204 2 3 0 1223.0530960625 1.2230530960625
46 4088998.22 -3272711.95 / 9 2.76695681857833 3 4 0 1223.05309606297 1.22305309606297
