#trapID,X,Y,effort,/,altitude,topo,water
SLFKG005,547936.8559,4701741.356,65,/,3294,ridgeline,FALSE
SLFKG006,494515.8558,4694349.222,15,/,3434,ridgeline,FALSE
SLFKG009,454748.7037,4708745.926,39,/,3424,slope,TRUE
SLFKG011,516947.2729,4703416.116,91,/,3361,ridgeline,FALSE
SLFKG013,526480.7649,4702572.822,50,/,3089,ridgeline,FALSE
SLFKG015,519043.2749,4708460.504,91,/,3121,ridgeline,FALSE
SLFKG016,448471.0557,4715018.175,33,/,2657,valley,TRUE
SLFKG017,460421.5143,4710216.981,67,/,3012,valley,FALSE
SLFKG020,425517.6037,4698561.084,25,/,2840,valley,TRUE
SLFKG021,506047.0004,4698866.344,91,/,3439,slope,FALSE
SLFKG022,428917.8404,4701447.142,24,/,2936,valley,FALSE
SLFKG024,501851.732,4697103.252,16,/,3563,slope,FALSE
SLFKG026,491628.3251,4693147.336,17,/,3629,ridgeline,FALSE
SLFKG030,526040.094,4694101.326,28,/,3468,ridgeline,FALSE
SLFKG032,489997.6816,4707997.479,45,/,2728,slope,TRUE
SLFKG033,460416.1685,4710345.378,67,/,2935,ridgeline,TRUE
SLFKG034,428213.5006,4702206.392,25,/,3052,ridgeline,TRUE
SLFKG035,543580.7784,4707561.529,19,/,2925,slope,FALSE
SLFKG036,547735.5328,4701570.301,65,/,3396,ridgeline,FALSE
SLFKG038,494401.0958,4693887.401,15,/,3451,ridgeline,FALSE
SLFKG039,457099.4577,4705173.203,41,/,2827,valley,TRUE
SLFKG041,526933.9687,4694075.843,28,/,3427,slope,FALSE
SLFKG042,505910.4789,4699060.543,91,/,3426,slope,FALSE
SLFKG043,515060.4701,4703678.277,91,/,3100,slope,TRUE
SLFKG050,539876.1817,4694450.826,29,/,3115,slope,FALSE
SLFKG053,491834.771,4693018.289,17,/,3602,ridgeline,FALSE
SLFKG054,540298.9207,4695354.902,29,/,3159,ridgeline,FALSE
SLFKG056,501755.3356,4694420.575,16,/,3189,slope,FALSE
SLFKG058,448492.528,4714261.786,33,/,2615,slope,TRUE
DALECAMERA2,518567.6716,4706947.412,27,/,2530,valley,TRUE
DALECAMERA3,518567.6716,4706947.412,27,/,2530,valley,TRUE
ULTRAFIREXR6,517681.1492,4703541.748,28,/,2996,ridgeline,FALSE
RANGER002,516484.4224,4703121.863,91,/,3565,ridgeline,FALSE
RANGER005,497647.2126,4707600.387,91,/,2974,ridgeline,TRUE
RANGER006,497488.5339,4706955.306,91,/,2911,ridgeline,TRUE
RANGER007,456797.1952,4704001.345,41,/,2802,valley,TRUE
