Session ID Occasion Detector sex 
1 103 1 49 1
1 104 1 47 1
1 107 1 49 2
1 108 1 33 1
1 111 1 32 2
1 111 1 48 2
1 113 1 48 1
1 115 1 48 2
1 115 1 57 2
1 115 1 57 2
1 115 1 57 2
1 118 1 48 1
1 118 1 61 1
1 118 1 62 1
1 119 1 61 1
1 12 1 3 1
1 12 1 4 1
1 12 1 23 1
1 121 1 40 2
1 121 1 50 2
1 121 1 50 2
1 121 1 57 2
1 121 1 62 2
1 122 1 40 1
1 122 1 51 1
1 122 1 57 1
1 123 1 40 2
1 123 1 43 2
1 123 1 45 2
1 123 1 61 2
1 125 1 48 2
1 125 1 51 2
1 125 1 61 2
1 126 1 36 2
1 126 1 50 2
1 126 1 62 2
1 126 1 62 2
1 126 1 62 2
1 128 1 42 2
1 128 1 50 2
1 128 1 56 2
1 129 1 57 1
1 13 1 3 2
1 13 1 4 2
1 13 1 5 2
1 13 1 7 2
1 13 1 7 2
1 130 1 40 2
1 130 1 40 2
1 130 1 40 2
1 130 1 57 2
1 139 1 42 2
1 139 1 55 2
1 139 1 55 2
1 139 1 58 2
1 139 1 59 2
1 14 1 4 1
1 141 1 42 1
1 144 1 39 2
1 144 1 39 2
1 144 1 58 2
1 144 1 58 2
1 144 1 59 2
1 144 1 59 2
1 145 1 39 1
1 145 1 58 1
1 146 1 34 2
1 151 1 37 2
1 151 1 37 2
1 151 1 59 2
1 152 1 37 2
1 152 1 59 2
1 154 1 55 2
1 154 1 59 2
1 155 1 55 2
1 156 1 34 2
1 19 1 2 2
1 19 1 3 2
1 19 1 23 2
1 21 1 3 2
1 21 1 3 2
1 21 1 7 2
1 21 1 23 2
1 21 1 26 2
1 22 1 5 2
1 22 1 8 2
1 22 1 16 2
1 22 1 17 2
1 28 1 3 2
1 28 1 26 2
1 28 1 31 2
1 29 1 2 2
1 3 1 3 2
1 3 1 4 2
1 3 1 5 2
1 30 1 16 1
1 31 1 2 2
1 31 1 2 2
1 31 1 31 2
1 36 1 31 2
1 38 1 31 1
1 38 1 31 1
1 38 1 31 1
1 39 1 31 2
1 4 1 5 2
1 4 1 6 2
1 40 1 8 1
1 42 1 23 2
1 42 1 23 2
1 42 1 26 2
1 42 1 26 2
1 42 1 26 2
1 43 1 8 1
1 47 1 2 2
1 47 1 28 2
1 47 1 29 2
1 47 1 29 2
1 47 1 31 2
1 48 1 8 2
1 48 1 17 2
1 48 1 18 2
1 48 1 27 2
1 49 1 18 1
1 53 1 30 2
1 57 1 19 2
1 61 1 10 1
1 63 1 9 2
1 63 1 9 2
1 64 1 13 2
1 64 1 18 2
1 74 1 9 2
1 74 1 13 2
1 74 1 19 2
1 74 1 20 2
1 78 1 9 1
1 78 1 10 1
1 82 1 60 2
1 86 1 49 2
1 87 1 12 2
1 87 1 21 2
1 87 1 21 2
1 89 1 49 2
1 89 1 52 2
1 91 1 60 1
1 92 1 12 2
1 94 1 21 2
1 97 1 49 2
1 98 1 47 1
