x y habitat.cov landscape water high.water dist.to.water km.to.water
4088343 -3328069 3 Malelane.Mountain.Bushveld 6 1 0 0
4087120 -3326846 3 Malelane.Mountain.Bushveld 5 1 0 0
4088343 -3326846 3 Malelane.Mountain.Bushveld 6 1 0 0
4089566 -3326846 3 Malelane.Mountain.Bushveld 7 1 0 0
4090790 -3326846 3 Malelane.Mountain.Bushveld 6 1 0 0
4092013 -3326846 3 Malelane.Mountain.Bushveld 9 1 0 0
4093236 -3326846 3 Malelane.Mountain.Bushveld 3 0 1223 1.22
4094459 -3326846 3 Malelane.Mountain.Bushveld 3 0 1223 1.22
4095682 -3326846 3 Malelane.Mountain.Bushveld 5 1 0 0
4096905 -3326846 3 Malelane.Mountain.Bushveld 1 0 1223 1.22
4098128 -3326846 3 Malelane.Mountain.Bushveld 0 0 2446 2.45
4099351 -3326846 3 Malelane.Mountain.Bushveld 4 0 1223 1.22
4100574 -3326846 3 Malelane.Mountain.Bushveld 8 1 0 0
4101797 -3326846 3 Malelane.Mountain.Bushveld 1 0 1223 1.22
4085897 -3325623 3 Malelane.Mountain.Bushveld 4 0 1730 1.73
4087120 -3325623 3 Malelane.Mountain.Bushveld 2 0 1223 1.22
4088343 -3325623 3 Malelane.Mountain.Bushveld 5 1 0 0
4089566 -3325623 3 Malelane.Mountain.Bushveld 2 0 1223 1.22
4090790 -3325623 3 Malelane.Mountain.Bushveld 3 0 1223 1.22
4092013 -3325623 3 Malelane.Mountain.Bushveld 5 1 0 0
4093236 -3325623 3 Malelane.Mountain.Bushveld 2 0 1223 1.22
4094459 -3325623 3 Malelane.Mountain.Bushveld 2 0 1730 1.73
4095682 -3325623 3 Malelane.Mountain.Bushveld 0 0 1223 1.22
4096905 -3325623 3 Malelane.Mountain.Bushveld 1 0 1730 1.73
4098128 -3325623 3 Malelane.Mountain.Bushveld 1 0 2735 2.73
4099351 -3325623 3 Malelane.Mountain.Bushveld 0 0 1730 1.73
4100574 -3325623 3 Malelane.Mountain.Bushveld 0 0 1223 1.22
4101797 -3325623 2.99 Malelane.Mountain.Bushveld 1 0 1730 1.73
4103020 -3325623 2.98 Malelane.Mountain.Bushveld 1 0 1223 1.22
4104243 -3325623 2.97 Malelane.Mountain.Bushveld 10 1 0 0
4105466 -3325623 2.94 Malelane.Mountain.Bushveld 7 1 0 0
4106689 -3325623 2.89 Malelane.Mountain.Bushveld 10 1 0 0
4118920 -3325623 1.78 Sabie.Crocodile.Thorn.Thickets 11 1 0 0
4120143 -3325623 1.81 Sabie.Crocodile.Thorn.Thickets 9 1 0 0
4087120 -3324400 3 Malelane.Mountain.Bushveld 0 0 1730 1.73
4088343 -3324400 3 Malelane.Mountain.Bushveld 1 0 1223 1.22
4089566 -3324400 3 Malelane.Mountain.Bushveld 1 0 1730 1.73
4090790 -3324400 3 Malelane.Mountain.Bushveld 2 0 1730 1.73
4092013 -3324400 3 Malelane.Mountain.Bushveld 2 0 1223 1.22
4093236 -3324400 3 Malelane.Mountain.Bushveld 2 0 1730 1.73
4094459 -3324400 3 Malelane.Mountain.Bushveld 3 0 2735 2.73
4095682 -3324400 3 Malelane.Mountain.Bushveld 0 0 2446 2.45
4096905 -3324400 3 Malelane.Mountain.Bushveld 0 0 2735 2.73
4098128 -3324400 3 Malelane.Mountain.Bushveld 1 0 3459 3.46
4099351 -3324400 3 Malelane.Mountain.Bushveld 1 0 2735 2.73
4100574 -3324400 2.99 Malelane.Mountain.Bushveld 0 0 2446 2.45
4101797 -3324400 2.99 Malelane.Mountain.Bushveld 1 0 2735 2.73
4103020 -3324400 2.98 Malelane.Mountain.Bushveld 1 0 1730 1.73
4104243 -3324400 2.95 Malelane.Mountain.Bushveld 1 0 1223 1.22
4105466 -3324400 2.92 Malelane.Mountain.Bushveld 12 1 0 0
4106689 -3324400 2.85 Malelane.Mountain.Bushveld 8 1 0 0
4117697 -3324400 1.68 Sabie.Crocodile.Thorn.Thickets 1 0 1223 1.22
4118920 -3324400 1.71 Sabie.Crocodile.Thorn.Thickets 0 0 1223 1.22
4120143 -3324400 1.75 Sabie.Crocodile.Thorn.Thickets 5 1 0 0
4121366 -3324400 1.79 Sabie.Crocodile.Thorn.Thickets 4 0 1223 1.22
4122589 -3324400 1.83 Sabie.Crocodile.Thorn.Thickets 5 1 0 0
4085897 -3323177 3 Malelane.Mountain.Bushveld 7 1 0 0
4087120 -3323177 3 Malelane.Mountain.Bushveld 0 0 1223 1.22
4088343 -3323177 3 Malelane.Mountain.Bushveld 0 0 2446 2.45
4089566 -3323177 3 Malelane.Mountain.Bushveld 1 0 2735 2.73
4090790 -3323177 3 Malelane.Mountain.Bushveld 2 0 2735 2.73
4092013 -3323177 3 Malelane.Mountain.Bushveld 2 0 2446 2.45
4093236 -3323177 3 Malelane.Mountain.Bushveld 1 0 2735 2.73
4094459 -3323177 3 Malelane.Mountain.Bushveld 1 0 3459 3.46
4095682 -3323177 3 Malelane.Mountain.Bushveld 2 0 3669 3.67
4096905 -3323177 3 Malelane.Mountain.Bushveld 0 0 3868 3.87
4098128 -3323177 3 Malelane.Mountain.Bushveld 0 0 4410 4.41
4099351 -3323177 3 Malelane.Mountain.Bushveld 1 0 3459 3.46
4100574 -3323177 2.99 Malelane.Mountain.Bushveld 1 0 2735 2.73
4101797 -3323177 2.98 Malelane.Mountain.Bushveld 0 0 2446 2.45
4103020 -3323177 2.96 Malelane.Mountain.Bushveld 0 0 2446 2.45
4104243 -3323177 2.93 Malelane.Mountain.Bushveld 0 0 1223 1.22
4105466 -3323177 2.88 Malelane.Mountain.Bushveld 5 1 0 0
4117697 -3323177 1.59 Sabie.Crocodile.Thorn.Thickets 11 1 0 0
4118920 -3323177 1.64 Sabie.Crocodile.Thorn.Thickets 1 0 1223 1.22
4120143 -3323177 1.69 Sabie.Crocodile.Thorn.Thickets 0 0 1223 1.22
4121366 -3323177 1.74 Sabie.Crocodile.Thorn.Thickets 0 0 1730 1.73
4122589 -3323177 1.79 Sabie.Crocodile.Thorn.Thickets 2 0 1223 1.22
4123812 -3323177 1.84 Sabie.Crocodile.Thorn.Thickets 12 1 0 0
4083451 -3321954 3 Malelane.Mountain.Bushveld 6 1 0 0
4084674 -3321954 3 Malelane.Mountain.Bushveld 9 1 0 0
4085897 -3321954 3 Malelane.Mountain.Bushveld 2 0 1223 1.22
4087120 -3321954 3 Malelane.Mountain.Bushveld 0 0 1730 1.73
4088343 -3321954 3 Malelane.Mountain.Bushveld 1 0 2735 2.73
4089566 -3321954 3 Malelane.Mountain.Bushveld 0 0 3868 3.87
4090790 -3321954 3 Malelane.Mountain.Bushveld 2 0 3868 3.87
4092013 -3321954 3 Malelane.Mountain.Bushveld 1 0 3669 3.67
4093236 -3321954 3 Malelane.Mountain.Bushveld 0 0 3868 3.87
4094459 -3321954 3 Malelane.Mountain.Bushveld 0 0 4410 4.41
4095682 -3321954 3 Malelane.Mountain.Bushveld 1 0 4410 4.41
4096905 -3321954 3 Malelane.Mountain.Bushveld 0 0 3868 3.87
4098128 -3321954 3 Malelane.Mountain.Bushveld 0 0 3669 3.67
4099351 -3321954 2.99 Malelane.Mountain.Bushveld 1 0 2735 2.73
4100574 -3321954 2.99 Malelane.Mountain.Bushveld 4 0 1730 1.73
4101797 -3321954 2.98 Malelane.Mountain.Bushveld 0 0 1223 1.22
4103020 -3321954 2.95 Malelane.Mountain.Bushveld 0 0 1223 1.22
4104243 -3321954 2.91 Malelane.Mountain.Bushveld 0 0 1223 1.22
4105466 -3321954 2.84 Malelane.Mountain.Bushveld 5 1 0 0
4106689 -3321954 2.74 Malelane.Mountain.Bushveld 10 1 0 0
4107912 -3321954 2.6 Malelane.Mountain.Bushveld 12 1 0 0
4109135 -3321954 2.42 Malelane.Mountain.Bushveld 7 1 0 0
4110358 -3321954 2.2 Malelane.Mountain.Bushveld 12 1 0 0
4118920 -3321954 1.56 Sabie.Crocodile.Thorn.Thickets 5 1 0 0
4120143 -3321954 1.63 Sabie.Crocodile.Thorn.Thickets 0 0 1223 1.22
4121366 -3321954 1.69 Sabie.Crocodile.Thorn.Thickets 1 0 2446 2.45
4122589 -3321954 1.76 Sabie.Crocodile.Thorn.Thickets 1 0 1730 1.73
4123812 -3321954 1.81 Sabie.Crocodile.Thorn.Thickets 1 0 1223 1.22
4125035 -3321954 1.86 Sabie.Crocodile.Thorn.Thickets 2 0 1730 1.73
4083451 -3320731 3 Malelane.Mountain.Bushveld 1 0 1223 1.22
4084674 -3320731 3 Malelane.Mountain.Bushveld 1 0 1223 1.22
4085897 -3320731 3 Malelane.Mountain.Bushveld 1 0 1730 1.73
4087120 -3320731 3 Malelane.Mountain.Bushveld 0 0 2735 2.73
4088343 -3320731 3 Malelane.Mountain.Bushveld 1 0 3459 3.46
4089566 -3320731 3 Malelane.Mountain.Bushveld 0 0 4410 4.41
4090790 -3320731 3 Malelane.Mountain.Bushveld 2 0 5043 5.04
4092013 -3320731 3 Malelane.Mountain.Bushveld 2 0 4892 4.89
4093236 -3320731 3 Malelane.Mountain.Bushveld 0 0 5043 5.04
4094459 -3320731 3 Malelane.Mountain.Bushveld 0 0 4410 4.41
4095682 -3320731 3 Malelane.Mountain.Bushveld 0 0 3459 3.46
4096905 -3320731 3 Malelane.Mountain.Bushveld 1 0 2735 2.73
4098128 -3320731 2.99 Malelane.Mountain.Bushveld 0 0 2446 2.45
4099351 -3320731 2.99 Malelane.Mountain.Bushveld 1 0 2446 2.45
4100574 -3320731 2.98 Malelane.Mountain.Bushveld 0 0 1223 1.22
4101797 -3320731 2.97 Malelane.Mountain.Bushveld 6 1 0 0
4103020 -3320731 2.93 Malelane.Mountain.Bushveld 5 1 0 0
4104243 -3320731 2.88 Malelane.Mountain.Bushveld 4 0 1223 1.22
4105466 -3320731 2.8 Malelane.Mountain.Bushveld 0 0 1223 1.22
4106689 -3320731 2.68 Malelane.Mountain.Bushveld 1 0 1223 1.22
4107912 -3320731 2.51 Malelane.Mountain.Bushveld 3 0 1223 1.22
4109135 -3320731 2.31 Malelane.Mountain.Bushveld 1 0 1223 1.22
4110358 -3320731 2.08 Malelane.Mountain.Bushveld 6 1 0 0
4118920 -3320731 1.49 Mixed.Bushwillow.Woodlands 9 1 0 0
4120143 -3320731 1.57 Mixed.Bushwillow.Woodlands 0 0 1223 1.22
4121366 -3320731 1.65 Sabie.Crocodile.Thorn.Thickets 1 0 2446 2.45
4122589 -3320731 1.72 Sabie.Crocodile.Thorn.Thickets 2 0 2735 2.73
