# Detector x y / habitat landscape water high.water dist.to.water km.to.water
1 4116542 -3288956 / 1.01 Mixed.Bushwillow.Woodlands 14 1 0 0
2 4088869 -3318233 / 3 Malelane.Mountain.Bushveld 1 0 4892 4.89
3 4098721 -3321332 / 2.99 Malelane.Mountain.Bushveld 0 0 2446 2.45
4 4101910 -3323524 / 2.98 Malelane.Mountain.Bushveld 0 0 2446 2.45
5 4104696 -3325804 / 2.97 Malelane.Mountain.Bushveld 10 1 0 0
6 4105897 -3322393 / 2.84 Malelane.Mountain.Bushveld 5 1 0 0
7 4102985 -3320301 / 2.93 Malelane.Mountain.Bushveld 5 1 0 0
8 4103953 -3316474 / 2.77 Malelane.Mountain.Bushveld 0 0 3459 3.46
9 4098894 -3304794 / 1.84 Mixed.Bushwillow.Woodlands 5 1 0 0
10 4101779 -3303368 / 1.53 Mixed.Bushwillow.Woodlands 6 1 0 0
11 4105247 -3301902 / 1.2 Mixed.Bushwillow.Woodlands 4 0 1223 1.22
12 4119100 -3297283 / 1.01 Mixed.Bushwillow.Woodlands 10 1 0 0
13 4109643 -3300728 / 1.05 Thorn.Veld 1 0 2735 2.73
14 4112900 -3302694 / 1.03 Mixed.Bushwillow.Woodlands 0 0 1223 1.22
15 4110761 -3305583 / 1.22 Mixed.Bushwillow.Woodlands 2 0 1223 1.22
16 4110120 -3319271 / 1.98 Mixed.Bushwillow.Woodlands 1 0 1223 1.22
17 4108893 -3315570 / 1.98 Mixed.Bushwillow.Woodlands 1 0 2735 2.73
18 4108035 -3312339 / 1.99 Malelane.Mountain.Bushveld 2 0 1223 1.22
19 4104891 -3310095 / 2.02 Malelane.Mountain.Bushveld 2 0 1223 1.22
20 4102210 -3307350 / 1.86 Mixed.Bushwillow.Woodlands 0 0 1730 1.73
21 4117275 -3293178 / 1 Mixed.Bushwillow.Woodlands 2 0 1223 1.22
22 4116451 -3293692 / 1 Mixed.Bushwillow.Woodlands 3 0 1223 1.22
23 4098378 -3317429 / 2.96 Malelane.Mountain.Bushveld 2 0 1223 1.22
24 4113627 -3294886 / 1 Mixed.Bushwillow.Woodlands 1 0 2446 2.45
25 4110888 -3297140 / 1.01 Mixed.Bushwillow.Woodlands 2 0 2446 2.45
26 4098410 -3314280 / 2.86 Malelane.Mountain.Bushveld 10 1 0 0
27 4097755 -3310589 / 2.5 Malelane.Mountain.Bushveld 0 0 3669 3.67
28 4096888 -3307598 / 2.22 Mixed.Bushwillow.Woodlands 4 0 1223 1.22
29 4094117 -3309891 / 2.59 Mixed.Bushwillow.Woodlands 1 0 1223 1.22
30 4092261 -3313028 / 2.9 Malelane.Mountain.Bushveld 2 0 3868 3.87
31 4090261 -3315451 / 2.97 Malelane.Mountain.Bushveld 1 0 6586 6.59
32 4085346 -3284700 / 2.98 Pretoriuskop.Sourveld 13 1 0 0
33 4097560 -3288223 / 1.5 Thorn.Veld 7 1 0 0
34 4100757 -3264388 / 2.19 Pretoriuskop.Sourveld 12 1 0 0
35 4087334 -3264629 / 2.6 Pretoriuskop.Sourveld 11 1 0 0
36 4094397 -3287189 / 2.19 Pretoriuskop.Sourveld 3 0 2446 2.45
37 4091340 -3265765 / 2.49 Pretoriuskop.Sourveld 1 0 2446 2.45
38 4080825 -3275823 / 3 Pretoriuskop.Sourveld 8 1 0 0
39 4086074 -3267690 / 2.89 Pretoriuskop.Sourveld 2 0 1223 1.22
40 4091715 -3275822 / 2.43 Pretoriuskop.Sourveld 1 0 1223 1.22
41 4084823 -3287898 / 2.99 Pretoriuskop.Sourveld 6 1 0 0
42 4090211 -3271244 / 2.64 Pretoriuskop.Sourveld 3 0 1223 1.22
43 4093185 -3283323 / 2.32 Pretoriuskop.Sourveld 4 0 1223 1.22
44 4082388 -3273035 / 3 Pretoriuskop.Sourveld 2 0 1223 1.22
45 4098385 -3278976 / 1.36 Mixed.Bushwillow.Woodlands 3 0 1223 1.22
46 4088998 -3272712 / 2.77 Pretoriuskop.Sourveld 4 0 1223 1.22
47 4093943 -3290140 / 2.25 Malelane.Mountain.Bushveld 1 0 3459 3.46
48 4088707 -3283639 / 2.91 Pretoriuskop.Sourveld 5 1 0 0
49 4089057 -3288671 / 2.87 Pretoriuskop.Sourveld 3 0 1223 1.22
50 4083733 -3278066 / 2.99 Pretoriuskop.Sourveld 2 0 1223 1.22
51 4088826 -3278163 / 2.87 Pretoriuskop.Sourveld 2 0 1223 1.22
52 4093625 -3293168 / 2.53 Malelane.Mountain.Bushveld 1 0 1730 1.73
53 4086267 -3270816 / 2.95 Pretoriuskop.Sourveld 1 0 1730 1.73
54 4090357 -3261620 / 2.21 Thorn.Veld 0 0 1223 1.22
55 4096899 -3264119 / 2.26 Pretoriuskop.Sourveld 6 1 0 0
56 4085292 -3274092 / 2.96 Pretoriuskop.Sourveld 9 1 0 0
57 4086515 -3276591 / 2.93 Pretoriuskop.Sourveld 6 1 0 0
58 4088916 -3268322 / 2.78 Pretoriuskop.Sourveld 0 0 1223 1.22
59 4093658 -3263735 / 2.26 Thorn.Veld 1 0 2735 2.73
60 4090360 -3292070 / 2.81 Pretoriuskop.Sourveld 5 1 0 0
61 4092527 -3279879 / 2.49 Pretoriuskop.Sourveld 7 1 0 0
62 4089161 -3280230 / 2.8 Pretoriuskop.Sourveld 2 0 1223 1.22
