"Session","ID","Occasion","Detector","sex"
1,103,1,49,"M"
1,104,1,47,"M"
1,107,1,49,"F"
1,108,1,33,"M"
1,111,1,32,"F"
1,111,1,48,"F"
1,113,1,48,"M"
1,115,1,48,"F"
1,115,1,57,"F"
1,115,1,57,"F"
1,115,1,57,"F"
1,118,1,48,"M"
1,118,1,61,"M"
1,118,1,62,"M"
1,119,1,61,"M"
1,12,1,3,"M"
1,12,1,4,"M"
1,12,1,23,"M"
1,121,1,40,"F"
1,121,1,50,"F"
1,121,1,50,"F"
1,121,1,57,"F"
1,121,1,62,"F"
1,122,1,40,"M"
1,122,1,51,"M"
1,122,1,57,"M"
1,123,1,40,"F"
1,123,1,43,"F"
1,123,1,45,"F"
1,123,1,61,"F"
1,125,1,48,"F"
1,125,1,51,"F"
1,125,1,61,"F"
1,126,1,36,"F"
1,126,1,50,"F"
1,126,1,62,"F"
1,126,1,62,"F"
1,126,1,62,"F"
1,128,1,42,"F"
1,128,1,50,"F"
1,128,1,56,"F"
1,129,1,57,"M"
1,13,1,3,"F"
1,13,1,4,"F"
1,13,1,5,"F"
1,13,1,7,"F"
1,13,1,7,"F"
1,130,1,40,"F"
1,130,1,40,"F"
1,130,1,40,"F"
1,130,1,57,"F"
1,139,1,42,"F"
1,139,1,55,"F"
1,139,1,55,"F"
1,139,1,58,"F"
1,139,1,59,"F"
1,14,1,4,"M"
1,141,1,42,"M"
1,144,1,39,"F"
1,144,1,39,"F"
1,144,1,58,"F"
1,144,1,58,"F"
1,144,1,59,"F"
1,144,1,59,"F"
1,145,1,39,"M"
1,145,1,58,"M"
1,146,1,34,"F"
1,151,1,37,"F"
1,151,1,37,"F"
1,151,1,59,"F"
1,152,1,37,"F"
1,152,1,59,"F"
1,154,1,55,"F"
1,154,1,59,"F"
1,155,1,55,"F"
1,156,1,34,"F"
1,19,1,2,"F"
1,19,1,3,"F"
1,19,1,23,"F"
1,21,1,3,"F"
1,21,1,3,"F"
1,21,1,7,"F"
1,21,1,23,"F"
1,21,1,26,"F"
1,22,1,5,"F"
1,22,1,8,"F"
1,22,1,16,"F"
1,22,1,17,"F"
1,28,1,3,"F"
1,28,1,26,"F"
1,28,1,31,"F"
1,29,1,2,"F"
1,3,1,3,"F"
1,3,1,4,"F"
1,3,1,5,"F"
1,30,1,16,"M"
1,31,1,2,"F"
1,31,1,2,"F"
1,31,1,31,"F"
1,36,1,31,"F"
1,38,1,31,"M"
1,38,1,31,"M"
1,38,1,31,"M"
1,39,1,31,"F"
1,4,1,5,"F"
1,4,1,6,"F"
1,40,1,8,"M"
1,42,1,23,"F"
1,42,1,23,"F"
1,42,1,26,"F"
1,42,1,26,"F"
1,42,1,26,"F"
1,43,1,8,"M"
1,47,1,2,"F"
1,47,1,28,"F"
1,47,1,29,"F"
1,47,1,29,"F"
1,47,1,31,"F"
1,48,1,8,"F"
1,48,1,17,"F"
1,48,1,18,"F"
1,48,1,27,"F"
1,49,1,18,"M"
1,53,1,30,"F"
1,57,1,19,"F"
1,61,1,10,"M"
1,63,1,9,"F"
1,63,1,9,"F"
1,64,1,13,"F"
1,64,1,18,"F"
1,74,1,9,"F"
1,74,1,13,"F"
1,74,1,19,"F"
1,74,1,20,"F"
1,78,1,9,"M"
1,78,1,10,"M"
1,82,1,60,"F"
1,86,1,49,"F"
1,87,1,12,"F"
1,87,1,21,"F"
1,87,1,21,"F"
1,89,1,49,"F"
1,89,1,52,"F"
1,91,1,60,"M"
1,92,1,12,"F"
1,94,1,21,"F"
1,97,1,49,"F"
1,98,1,47,"M"
